page,resources_refereced,text_extracted
/senate-bill-919/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",21
/2024/04/02/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/2024/03/08/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/franchise-lease-negotiations/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",27
/avoid-franchise-failure/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",25
/2024/03/20/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/2024/03/11/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/2024/03/page/2/,"{'page_urls': 18, 'jpg': 1, 'png': 3}",7
/leasecake-restaurant365-integration/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",44
/franchising-and-technology/,"{'page_urls': 16, 'jpg': 1, 'png': 3}",18
/2024/01/30/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/2024/01/29/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/franchise-territory-design/,"{'page_urls': 16, 'jpg': 1, 'png': 2, 'pdf': 1}",26
/franchise-profitability-playbook-2024/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",52
/2024/01/26/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/2024/01/23/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/awarity-franchise-advertising/,"{'page_urls': 16, 'jpg': 1, 'png': 2, 'pdf': 1}",31
/2024/01/page/2/,"{'page_urls': 18, 'jpg': 1, 'png': 3}",7
/featured-supplier/awarity/,"{'page_urls': 18, 'jpg': 1, 'png': 2}",33
/2024/01/25/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/popeyes-csquared-client-testimonial/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",14
/c-squared-advisors-wins/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",13
/2024/02/07/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/2023/12/08/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/supplier-wire-031/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",18
/pocketsuite-imjoshv/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",20
/2024/01/18/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/2024/01/04/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/pet-care-franchise-suppliers/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",24
/franchisor-franchisee-relations/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",32
/2024/01/05/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/2024/01/22/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/franchise-suppliers-2024/,"{'page_urls': 15, 'jpg': 1, 'png': 2}",17
/franchise-reputation-marketing-nicejob/,"{'page_urls': 16, 'jpg': 1, 'png': 2, 'pdf': 1}",17
/2024/01/08/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/featured-supplier/nicejob/,"{'page_urls': 17, 'jpg': 1, 'png': 1, 'svg': 1}",31
/2024/01/15/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/nicejob-franchise-wins/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",13
/2024/02/08/,"{'page_urls': 18, 'jpg': 1, 'png': 3}",7
/building-a-strategic-partnership-cabinet-iq-x-serviceminder/,"{'page_urls': 16, 'jpg': 1, 'png': 2, 'pdf': 1}",18
/2024/01/12/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/2024/02/27/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/2024/page/5/,"{'page_urls': 31, 'jpg': 1, 'png': 13}",17
/2024/page/4/,"{'page_urls': 31, 'jpg': 1, 'png': 13}",17
/social-media-for-hiring/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",50
/supplier-wire-034/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",17
/featured-supplier/evocalize/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",29
/featured-supplier/ezee-assist/,"{'page_urls': 15, 'jpg': 1, 'png': 2}",27
/2024/02/13/,"{'page_urls': 18, 'jpg': 1, 'png': 3}",7
/2024/02/01/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/franchise-supplier-wire-033/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",17
/franchise-supplier-team/,"{'page_urls': 15, 'jpg': 1, 'png': 2}",18
/2024/02/06/,"{'page_urls': 18, 'jpg': 1, 'png': 3}",7
